disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12,symptom_13,symptom_14,symptom_15,symptom_16,symptom_17,temperature,recommendation,symptoms
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,,36.1-37.2°C / 97-99°F,"Identify and avoid personal triggers (certain foods, stress, lack of sleep). Rest in a quiet, dark room during an attack, stay hydrated, and use prescribed medication. See a doctor if attacks are frequent or severe.","acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances"
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression,irritability,visual_disturbances,,,,,,,,,,36.1-37.2°C / 97-99°F,"Identify and avoid personal triggers (certain foods, stress, lack of sleep). Rest in a quiet, dark room during an attack, stay hydrated, and use prescribed medication. See a doctor if attacks are frequent or severe.","acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression,irritability,visual_disturbances"
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances,,,,,,,,,,36.1-37.2°C / 97-99°F,"Identify and avoid personal triggers (certain foods, stress, lack of sleep). Rest in a quiet, dark room during an attack, stay hydrated, and use prescribed medication. See a doctor if attacks are frequent or severe.","acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances"
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances,,,,,,,,,,36.1-37.2°C / 97-99°F,"Identify and avoid personal triggers (certain foods, stress, lack of sleep). Rest in a quiet, dark room during an attack, stay hydrated, and use prescribed medication. See a doctor if attacks are frequent or severe.","acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances"
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,,,,,,,,,,36.1-37.2°C / 97-99°F,"Identify and avoid personal triggers (certain foods, stress, lack of sleep). Rest in a quiet, dark room during an attack, stay hydrated, and use prescribed medication. See a doctor if attacks are frequent or severe.","acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability"
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Maintain good posture, use ergonomic support while sitting, and do gentle neck exercises/physiotherapy. Pain relief medication can help; see a doctor if there is numbness or weakness in the limbs.","back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance"
Cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Maintain good posture, use ergonomic support while sitting, and do gentle neck exercises/physiotherapy. Pain relief medication can help; see a doctor if there is numbness or weakness in the limbs.","weakness_in_limbs,neck_pain,dizziness,loss_of_balance"
Cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Maintain good posture, use ergonomic support while sitting, and do gentle neck exercises/physiotherapy. Pain relief medication can help; see a doctor if there is numbness or weakness in the limbs.","back_pain,neck_pain,dizziness,loss_of_balance"
Cervical spondylosis,back_pain,weakness_in_limbs,dizziness,loss_of_balance,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Maintain good posture, use ergonomic support while sitting, and do gentle neck exercises/physiotherapy. Pain relief medication can help; see a doctor if there is numbness or weakness in the limbs.","back_pain,weakness_in_limbs,dizziness,loss_of_balance"
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,loss_of_balance,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Maintain good posture, use ergonomic support while sitting, and do gentle neck exercises/physiotherapy. Pain relief medication can help; see a doctor if there is numbness or weakness in the limbs.","back_pain,weakness_in_limbs,neck_pain,loss_of_balance"
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,,,,,,,,,,,,,,36.1-37.2°C / 97-99°F,"Maintain good posture, use ergonomic support while sitting, and do gentle neck exercises/physiotherapy. Pain relief medication can help; see a doctor if there is numbness or weakness in the limbs.","back_pain,weakness_in_limbs,neck_pain,dizziness"
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,,36.1-38°C / 97-100.4°F,This is a medical emergency — seek immediate emergency care. Do not delay; rapid treatment significantly affects recovery. Follow-up rehabilitation (physiotherapy) is important for regaining function.,"vomiting,headache,weakness_of_one_body_side,altered_sensorium"
Paralysis (brain hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,,,36.1-38°C / 97-100.4°F,This is a medical emergency — seek immediate emergency care. Do not delay; rapid treatment significantly affects recovery. Follow-up rehabilitation (physiotherapy) is important for regaining function.,"headache,weakness_of_one_body_side,altered_sensorium"
Paralysis (brain hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,,,,,,,,,,,,,,,36.1-38°C / 97-100.4°F,This is a medical emergency — seek immediate emergency care. Do not delay; rapid treatment significantly affects recovery. Follow-up rehabilitation (physiotherapy) is important for regaining function.,"vomiting,weakness_of_one_body_side,altered_sensorium"
Paralysis (brain hemorrhage),vomiting,headache,altered_sensorium,,,,,,,,,,,,,,,36.1-38°C / 97-100.4°F,This is a medical emergency — seek immediate emergency care. Do not delay; rapid treatment significantly affects recovery. Follow-up rehabilitation (physiotherapy) is important for regaining function.,"vomiting,headache,altered_sensorium"
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,,,,,,,,,,,,,,,36.1-38°C / 97-100.4°F,This is a medical emergency — seek immediate emergency care. Do not delay; rapid treatment significantly affects recovery. Follow-up rehabilitation (physiotherapy) is important for regaining function.,"vomiting,headache,weakness_of_one_body_side"
Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"Rest, stay hydrated, and avoid alcohol and fatty foods to reduce strain on the liver. See a doctor promptly for the underlying cause (hepatitis, gallstones, etc.), especially if fever or severe pain occurs.","itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Jaundice,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"Rest, stay hydrated, and avoid alcohol and fatty foods to reduce strain on the liver. See a doctor promptly for the underlying cause (hepatitis, gallstones, etc.), especially if fever or severe pain occurs.","vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Jaundice,itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"Rest, stay hydrated, and avoid alcohol and fatty foods to reduce strain on the liver. See a doctor promptly for the underlying cause (hepatitis, gallstones, etc.), especially if fever or severe pain occurs.","itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Jaundice,itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"Rest, stay hydrated, and avoid alcohol and fatty foods to reduce strain on the liver. See a doctor promptly for the underlying cause (hepatitis, gallstones, etc.), especially if fever or severe pain occurs.","itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Jaundice,itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"Rest, stay hydrated, and avoid alcohol and fatty foods to reduce strain on the liver. See a doctor promptly for the underlying cause (hepatitis, gallstones, etc.), especially if fever or severe pain occurs.","itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain"
Jaundice,itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"Rest, stay hydrated, and avoid alcohol and fatty foods to reduce strain on the liver. See a doctor promptly for the underlying cause (hepatitis, gallstones, etc.), especially if fever or severe pain occurs.","itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain"
Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,dark_urine,abdominal_pain,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"Rest, stay hydrated, and avoid alcohol and fatty foods to reduce strain on the liver. See a doctor promptly for the underlying cause (hepatitis, gallstones, etc.), especially if fever or severe pain occurs.","itching,vomiting,fatigue,weight_loss,high_fever,dark_urine,abdominal_pain"
Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"Rest, stay hydrated, and avoid alcohol and fatty foods to reduce strain on the liver. See a doctor promptly for the underlying cause (hepatitis, gallstones, etc.), especially if fever or severe pain occurs.","itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain"
Jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,,,,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"Rest, stay hydrated, and avoid alcohol and fatty foods to reduce strain on the liver. See a doctor promptly for the underlying cause (hepatitis, gallstones, etc.), especially if fever or severe pain occurs.","itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine"
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,,,,,,,,,,,39.0-41.0°C / 102.2-105.8°F,"Seek prompt medical treatment with antimalarial medication — do not self-treat. Use mosquito nets and repellents to prevent further infection. Get emergency care if there is confusion, seizures, or severe weakness.","chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain"
Malaria,chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,39.0-41.0°C / 102.2-105.8°F,"Seek prompt medical treatment with antimalarial medication — do not self-treat. Use mosquito nets and repellents to prevent further infection. Get emergency care if there is confusion, seizures, or severe weakness.","chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
Malaria,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,,39.0-41.0°C / 102.2-105.8°F,"Seek prompt medical treatment with antimalarial medication — do not self-treat. Use mosquito nets and repellents to prevent further infection. Get emergency care if there is confusion, seizures, or severe weakness.","vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
Malaria,chills,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,,39.0-41.0°C / 102.2-105.8°F,"Seek prompt medical treatment with antimalarial medication — do not self-treat. Use mosquito nets and repellents to prevent further infection. Get emergency care if there is confusion, seizures, or severe weakness.","chills,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
Malaria,chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,,39.0-41.0°C / 102.2-105.8°F,"Seek prompt medical treatment with antimalarial medication — do not self-treat. Use mosquito nets and repellents to prevent further infection. Get emergency care if there is confusion, seizures, or severe weakness.","chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain"
Malaria,chills,vomiting,high_fever,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,,39.0-41.0°C / 102.2-105.8°F,"Seek prompt medical treatment with antimalarial medication — do not self-treat. Use mosquito nets and repellents to prevent further infection. Get emergency care if there is confusion, seizures, or severe weakness.","chills,vomiting,high_fever,headache,nausea,diarrhoea,muscle_pain"
Malaria,chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain,,,,,,,,,,,39.0-41.0°C / 102.2-105.8°F,"Seek prompt medical treatment with antimalarial medication — do not self-treat. Use mosquito nets and repellents to prevent further infection. Get emergency care if there is confusion, seizures, or severe weakness.","chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain"
Malaria,chills,vomiting,high_fever,sweating,headache,diarrhoea,muscle_pain,,,,,,,,,,,39.0-41.0°C / 102.2-105.8°F,"Seek prompt medical treatment with antimalarial medication — do not self-treat. Use mosquito nets and repellents to prevent further infection. Get emergency care if there is confusion, seizures, or severe weakness.","chills,vomiting,high_fever,sweating,headache,diarrhoea,muscle_pain"
Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,38.0-39.0°C / 100.4-102.2°F,"Isolate to avoid spreading to others, keep skin clean, and avoid scratching to prevent scarring/infection. Use calamine lotion or antihistamines for itching. See a doctor if fever is very high or breathing becomes difficult.","itching,malaise,red_spots_over_body,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes"
Chicken pox,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,,38.0-39.0°C / 100.4-102.2°F,"Isolate to avoid spreading to others, keep skin clean, and avoid scratching to prevent scarring/infection. Use calamine lotion or antihistamines for itching. See a doctor if fever is very high or breathing becomes difficult.","skin_rash,red_spots_over_body,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise"
Chicken pox,itching,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,,38.0-39.0°C / 100.4-102.2°F,"Isolate to avoid spreading to others, keep skin clean, and avoid scratching to prevent scarring/infection. Use calamine lotion or antihistamines for itching. See a doctor if fever is very high or breathing becomes difficult.","itching,red_spots_over_body,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise"
Chicken pox,itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,,38.0-39.0°C / 100.4-102.2°F,"Isolate to avoid spreading to others, keep skin clean, and avoid scratching to prevent scarring/infection. Use calamine lotion or antihistamines for itching. See a doctor if fever is very high or breathing becomes difficult.","itching,red_spots_over_body,skin_rash,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise"
Chicken pox,itching,skin_rash,fatigue,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,,38.0-39.0°C / 100.4-102.2°F,"Isolate to avoid spreading to others, keep skin clean, and avoid scratching to prevent scarring/infection. Use calamine lotion or antihistamines for itching. See a doctor if fever is very high or breathing becomes difficult.","itching,red_spots_over_body,skin_rash,fatigue,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise"
Chicken pox,itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,,38.0-39.0°C / 100.4-102.2°F,"Isolate to avoid spreading to others, keep skin clean, and avoid scratching to prevent scarring/infection. Use calamine lotion or antihistamines for itching. See a doctor if fever is very high or breathing becomes difficult.","itching,red_spots_over_body,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise"
Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,,38.0-39.0°C / 100.4-102.2°F,"Isolate to avoid spreading to others, keep skin clean, and avoid scratching to prevent scarring/infection. Use calamine lotion or antihistamines for itching. See a doctor if fever is very high or breathing becomes difficult.","itching,red_spots_over_body,skin_rash,fatigue,lethargy,high_fever,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise"
Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,,38.0-39.0°C / 100.4-102.2°F,"Isolate to avoid spreading to others, keep skin clean, and avoid scratching to prevent scarring/infection. Use calamine lotion or antihistamines for itching. See a doctor if fever is very high or breathing becomes difficult.","itching,red_spots_over_body,skin_rash,fatigue,lethargy,high_fever,headache,mild_fever,swelled_lymph_nodes,malaise"
Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,swelled_lymph_nodes,malaise,red_spots_over_body,,,,,,,,38.0-39.0°C / 100.4-102.2°F,"Isolate to avoid spreading to others, keep skin clean, and avoid scratching to prevent scarring/infection. Use calamine lotion or antihistamines for itching. See a doctor if fever is very high or breathing becomes difficult.","itching,red_spots_over_body,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,swelled_lymph_nodes,malaise"
Chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,malaise,red_spots_over_body,,,,,,,,38.0-39.0°C / 100.4-102.2°F,"Isolate to avoid spreading to others, keep skin clean, and avoid scratching to prevent scarring/infection. Use calamine lotion or antihistamines for itching. See a doctor if fever is very high or breathing becomes difficult.","itching,red_spots_over_body,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,malaise"
Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,muscle_pain,red_spots_over_body,,,,,39.0-40.5°C / 102.2-104.9°F,"Rest, stay well hydrated, and use paracetamol (not aspirin/ibuprofen) for fever/pain to reduce bleeding risk. Monitor for warning signs (severe abdominal pain, bleeding, persistent vomiting) and seek urgent care if they appear.","skin_rash,pain_behind_the_eyes,back_pain,muscle_pain,red_spots_over_body,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite"
Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,red_spots_over_body,,,,,39.0-40.5°C / 102.2-104.9°F,"Rest, stay well hydrated, and use paracetamol (not aspirin/ibuprofen) for fever/pain to reduce bleeding risk. Monitor for warning signs (severe abdominal pain, bleeding, persistent vomiting) and seek urgent care if they appear.","skin_rash,pain_behind_the_eyes,back_pain,malaise,red_spots_over_body,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite"
Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,,,,,39.0-40.5°C / 102.2-104.9°F,"Rest, stay well hydrated, and use paracetamol (not aspirin/ibuprofen) for fever/pain to reduce bleeding risk. Monitor for warning signs (severe abdominal pain, bleeding, persistent vomiting) and seek urgent care if they appear.","skin_rash,pain_behind_the_eyes,back_pain,malaise,muscle_pain,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite"
Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,,,,39.0-40.5°C / 102.2-104.9°F,"Rest, stay well hydrated, and use paracetamol (not aspirin/ibuprofen) for fever/pain to reduce bleeding risk. Monitor for warning signs (severe abdominal pain, bleeding, persistent vomiting) and seek urgent care if they appear.","skin_rash,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite"
Dengue,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,,,,,39.0-40.5°C / 102.2-104.9°F,"Rest, stay well hydrated, and use paracetamol (not aspirin/ibuprofen) for fever/pain to reduce bleeding risk. Monitor for warning signs (severe abdominal pain, bleeding, persistent vomiting) and seek urgent care if they appear.","chills,back_pain,malaise,muscle_pain,red_spots_over_body,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes"
Dengue,skin_rash,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,,,,,39.0-40.5°C / 102.2-104.9°F,"Rest, stay well hydrated, and use paracetamol (not aspirin/ibuprofen) for fever/pain to reduce bleeding risk. Monitor for warning signs (severe abdominal pain, bleeding, persistent vomiting) and seek urgent care if they appear.","skin_rash,back_pain,malaise,muscle_pain,red_spots_over_body,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes"
Dengue,skin_rash,chills,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,,,,,39.0-40.5°C / 102.2-104.9°F,"Rest, stay well hydrated, and use paracetamol (not aspirin/ibuprofen) for fever/pain to reduce bleeding risk. Monitor for warning signs (severe abdominal pain, bleeding, persistent vomiting) and seek urgent care if they appear.","skin_rash,back_pain,malaise,muscle_pain,red_spots_over_body,chills,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes"
Dengue,skin_rash,chills,joint_pain,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,,,,,39.0-40.5°C / 102.2-104.9°F,"Rest, stay well hydrated, and use paracetamol (not aspirin/ibuprofen) for fever/pain to reduce bleeding risk. Monitor for warning signs (severe abdominal pain, bleeding, persistent vomiting) and seek urgent care if they appear.","skin_rash,back_pain,malaise,muscle_pain,red_spots_over_body,chills,joint_pain,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes"
Dengue,skin_rash,chills,joint_pain,vomiting,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,,,,,39.0-40.5°C / 102.2-104.9°F,"Rest, stay well hydrated, and use paracetamol (not aspirin/ibuprofen) for fever/pain to reduce bleeding risk. Monitor for warning signs (severe abdominal pain, bleeding, persistent vomiting) and seek urgent care if they appear.","skin_rash,back_pain,malaise,muscle_pain,red_spots_over_body,chills,joint_pain,vomiting,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes"
Dengue,skin_rash,chills,joint_pain,vomiting,fatigue,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,,,,,39.0-40.5°C / 102.2-104.9°F,"Rest, stay well hydrated, and use paracetamol (not aspirin/ibuprofen) for fever/pain to reduce bleeding risk. Monitor for warning signs (severe abdominal pain, bleeding, persistent vomiting) and seek urgent care if they appear.","skin_rash,back_pain,malaise,muscle_pain,red_spots_over_body,chills,joint_pain,vomiting,fatigue,headache,nausea,loss_of_appetite,pain_behind_the_eyes"
Typhoid,chills,vomiting,fatigue,high_fever,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,,39.0-40.5°C / 102.2-104.9°F,"Complete the full course of prescribed antibiotics, stay hydrated, and eat easily digestible food. Practice good hand hygiene to avoid spreading it. Seek medical care promptly, especially with persistent high fever.","chills,belly_pain,vomiting,fatigue,high_fever,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos)"
Typhoid,chills,vomiting,fatigue,high_fever,headache,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,,39.0-40.5°C / 102.2-104.9°F,"Complete the full course of prescribed antibiotics, stay hydrated, and eat easily digestible food. Practice good hand hygiene to avoid spreading it. Seek medical care promptly, especially with persistent high fever.","chills,belly_pain,vomiting,fatigue,high_fever,headache,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos)"
Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,,39.0-40.5°C / 102.2-104.9°F,"Complete the full course of prescribed antibiotics, stay hydrated, and eat easily digestible food. Practice good hand hygiene to avoid spreading it. Seek medical care promptly, especially with persistent high fever.","chills,belly_pain,vomiting,fatigue,high_fever,headache,nausea,abdominal_pain,diarrhoea,toxic_look_(typhos)"
Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,,39.0-40.5°C / 102.2-104.9°F,"Complete the full course of prescribed antibiotics, stay hydrated, and eat easily digestible food. Practice good hand hygiene to avoid spreading it. Seek medical care promptly, especially with persistent high fever.","chills,belly_pain,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,toxic_look_(typhos)"
Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,toxic_look_(typhos),belly_pain,,,,,,,,39.0-40.5°C / 102.2-104.9°F,"Complete the full course of prescribed antibiotics, stay hydrated, and eat easily digestible food. Practice good hand hygiene to avoid spreading it. Seek medical care promptly, especially with persistent high fever.","chills,belly_pain,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,toxic_look_(typhos)"
Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,belly_pain,,,,,,,,39.0-40.5°C / 102.2-104.9°F,"Complete the full course of prescribed antibiotics, stay hydrated, and eat easily digestible food. Practice good hand hygiene to avoid spreading it. Seek medical care promptly, especially with persistent high fever.","chills,belly_pain,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea"
Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),,,,,,,,39.0-40.5°C / 102.2-104.9°F,"Complete the full course of prescribed antibiotics, stay hydrated, and eat easily digestible food. Practice good hand hygiene to avoid spreading it. Seek medical care promptly, especially with persistent high fever.","chills,toxic_look_(typhos),vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea"
Typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,39.0-40.5°C / 102.2-104.9°F,"Complete the full course of prescribed antibiotics, stay hydrated, and eat easily digestible food. Practice good hand hygiene to avoid spreading it. Seek medical care promptly, especially with persistent high fever.","chills,toxic_look_(typhos),belly_pain,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea"
Typhoid,chills,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,,,,,,,,39.0-40.5°C / 102.2-104.9°F,"Complete the full course of prescribed antibiotics, stay hydrated, and eat easily digestible food. Practice good hand hygiene to avoid spreading it. Seek medical care promptly, especially with persistent high fever.","chills,belly_pain,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos)"
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,,37.5-38.5°C / 99.5-101.3°F,"Rest, stay hydrated, and avoid alcohol. It usually resolves on its own, but see a doctor for monitoring. Practice good hand hygiene and food/water safety to prevent spreading or reinfection.","joint_pain,yellowing_of_eyes,muscle_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever"
hepatitis A,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,,,,,,,,37.5-38.5°C / 99.5-101.3°F,"Rest, stay hydrated, and avoid alcohol. It usually resolves on its own, but see a doctor for monitoring. Practice good hand hygiene and food/water safety to prevent spreading or reinfection.","vomiting,muscle_pain,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes"
